FILM,YEAR,MONTH_USE,BOMGENRE,MPAA,ANIMATED_BIN,NO_USE_DUMPMONTH_BIN,RottenTomatoes,RottenTomatoes_User,Metacritic,Metacritic_User,IMDB,Fandango_Stars,Fandango_Ratingvalue,RT_norm,RT_user_norm,Metacritic_norm,Metacritic_user_nom,IMDB_norm,RT_norm_round,RT_user_norm_round,Metacritic_norm_round,Metacritic_user_norm_round,IMDB_norm_round,Metacritic_user_vote_count,IMDB_user_vote_count,Fandango_votes,Fandango_Difference,MONTH_WRONG_NO_USE,MONTH_DIFF,BIN_ACTION_ADVENTURE,BIN_ACTION,BIN_ADVENTURE,BIN_ANIMATION,BIN_COMEDY,BIN_CRIME,BIN_DOCUMENTARY,BIN_DRAMA,BIN_FAMILY,BIN_FANTASY,BIN_FOREIGN,BIN_HORROR,BIN_MUSICAL,BIN_ROMANCE,BIN_SCIFI,BIN_THRILLER
Avengers: Age of Ultron,2015,5,Action/Adventure,PG-13,0,0,74,86,66,7.1,7.8,5,4.5,3.7,4.3,3.3,3.55,3.9,3.5,4.5,3.5,3.5,4,1330,271107,14846,0.5,May,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cinderella,2015,3,Fantasy,PG,0,0,85,80,67,7.5,7.1,5,4.5,4.25,4,3.35,3.75,3.55,4.5,4,3.5,4,3.5,249,65709,12640,0.5,March,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Ant-Man,2015,6,Action/Adventure,PG-13,0,0,80,90,64,8.1,7.8,5,4.5,4,4.5,3.2,4.05,3.9,4,4.5,3,4,4,627,103660,12055,0.5,July,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Do You Believe?,2015,3,Drama,PG-13,0,0,18,84,22,4.7,5.4,5,4.5,0.9,4.2,1.1,2.35,2.7,1,4,1,2.5,2.5,31,3136,1793,0.5,March,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Hot Tub Time Machine 2,2015,2,Comedy,R,0,1,14,28,29,3.4,5.1,3.5,3,0.7,1.4,1.45,1.7,2.55,0.5,1.5,1.5,1.5,2.5,88,19560,1021,0.5,February,6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
The Water Diviner,2015,4,Drama,R,0,0,63,62,50,6.8,7.2,4.5,4,3.15,3.1,2.5,3.4,3.6,3,3,2.5,3.5,3.5,34,39373,397,0.5,December,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Irrational Man,2015,8,Comedy,R,0,1,42,53,53,7.6,6.9,4,3.5,2.1,2.65,2.65,3.8,3.45,2,2.5,2.5,4,3.5,17,2680,252,0.5,August,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Top Five,2014,9,Comedy,R,0,0,86,64,81,6.8,6.5,4,3.5,4.3,3.2,4.05,3.4,3.25,4.5,3,4,3.5,3.5,124,16876,3223,0.5,December,11,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Shaun the Sheep Movie,2015,8,Animation,PG,1,1,99,82,81,8.8,7.4,4.5,4,4.95,4.1,4.05,4.4,3.7,5,4,4,4.5,3.5,62,12227,896,0.5,August,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Love & Mercy,2015,6,Drama,PG-13,0,0,89,87,80,8.5,7.8,4.5,4,4.45,4.35,4,4.25,3.9,4.5,4.5,4,4.5,4,54,5367,864,0.5,June,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Far From The Madding Crowd,2015,5,Drama,PG-13,0,0,84,77,71,7.5,7.2,4.5,4,4.2,3.85,3.55,3.75,3.6,4,4,3.5,4,3.5,35,12129,804,0.5,May,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Black Sea,2015,1,Thriller,R,0,1,82,60,62,6.6,6.4,4,3.5,4.1,3,3.1,3.3,3.2,4,3,3,3.5,3,37,16547,218,0.5,January,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Leviathan,2014,8,Foreign,R,0,1,99,79,92,7.2,7.7,4,3.5,4.95,3.95,4.6,3.6,3.85,5,4,4.5,3.5,4,145,22521,64,0.5,February,12,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Unbroken,2014,12,Drama,PG-13,0,0,51,70,59,6.5,7.2,4.5,4.1,2.55,3.5,2.95,3.25,3.6,2.5,3.5,3,3.5,3.5,218,77518,9443,0.4,December,8,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
The Imitation Game,2014,11,Drama,PG-13,0,0,90,92,73,8.2,8.1,5,4.6,4.5,4.6,3.65,4.1,4.05,4.5,4.5,3.5,4,4,566,334164,8055,0.4,December,9,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Taken 3,2015,1,Action,PG-13,0,1,9,46,26,4.6,6.1,4.5,4.1,0.45,2.3,1.3,2.3,3.05,0.5,2.5,1.5,2.5,3,240,104235,6757,0.4,January,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ted 2,2015,6,Comedy,R,0,0,46,58,48,6.5,6.6,4.5,4.1,2.3,2.9,2.4,3.25,3.3,2.5,3,2.5,3.5,3.5,197,49102,6437,0.4,June,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Southpaw,2015,7,Drama,R,0,0,59,80,57,8.2,7.8,5,4.6,2.95,4,2.85,4.1,3.9,3,4,3,4,4,128,23561,5597,0.4,July,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Night at the Museum: Secret of the Tomb,2014,12,Adventure,PG,0,0,50,58,47,5.8,6.3,4.5,4.1,2.5,2.9,2.35,2.9,3.15,2.5,3,2.5,3,3,103,50291,5445,0.4,December,8,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Pixels,2015,7,Action,PG-13,0,0,17,54,27,5.3,5.6,4.5,4.1,0.85,2.7,1.35,2.65,2.8,1,2.5,1.5,2.5,3,246,19521,3886,0.4,July,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"McFarland, USA ",2015,2,Drama,PG,0,1,79,89,60,7.2,7.5,5,4.6,3.95,4.45,3,3.6,3.75,4,4.5,3,3.5,4,59,13769,3364,0.4,February,6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Insidious: Chapter 3,2015,6,Horror,PG-13,0,0,59,56,52,6.9,6.3,4.5,4.1,2.95,2.8,2.6,3.45,3.15,3,3,2.5,3.5,3,115,25134,3276,0.4,June,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
The Man From U.N.C.L.E.,2015,8,Action,PG-13,0,1,68,80,55,7.9,7.6,4.5,4.1,3.4,4,2.75,3.95,3.8,3.5,4,3,4,4,144,22104,2686,0.4,August,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Run All Night,2015,3,Action,R,0,0,60,59,59,7.3,6.6,4.5,4.1,3,2.95,2.95,3.65,3.3,3,3,3,3.5,3.5,141,50438,2066,0.4,March,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Trainwreck,2015,7,Comedy,R,0,0,85,74,75,6,6.7,4.5,4.1,4.25,3.7,3.75,3,3.35,4.5,3.5,4,3,3.5,169,27380,8381,0.4,July,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Selma,2014,12,Drama,PG-13,0,1,99,86,89,7.1,7.5,5,4.6,4.95,4.3,4.45,3.55,3.75,5,4.5,4.5,3.5,4,316,45344,7025,0.4,January,8,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Ex Machina,2015,4,Thriller,R,0,0,92,86,78,7.9,7.7,4.5,4.1,4.6,4.3,3.9,3.95,3.85,4.5,4.5,4,4,4,672,154499,3458,0.4,April,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Still Alice,2015,1,Drama,PG-13,0,1,88,85,72,7.8,7.5,4.5,4.1,4.4,4.25,3.6,3.9,3.75,4.5,4.5,3.5,4,4,153,57123,1258,0.4,February,7,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Wild Tales,2014,10,Foreign,R,0,0,96,92,77,8.8,8.2,4.5,4.1,4.8,4.6,3.85,4.4,4.1,5,4.5,4,4.5,4,107,50285,235,0.4,August,10,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
The End of the Tour,2015,1,Drama,R,0,0,92,89,84,7.5,7.9,4.5,4.1,4.6,4.45,4.2,3.75,3.95,4.5,4.5,4,4,4,19,1320,121,0.4,November,7,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Red Army,2015,5,Documentary,PG,0,1,96,86,82,7.4,7.7,4.5,4.1,4.8,4.3,4.1,3.7,3.85,5,4.5,4,3.5,4,11,2275,54,0.4,January,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
When Marnie Was There,2015,2,Animation,PG,1,0,89,89,71,6.4,7.8,4.5,4.1,4.45,4.45,3.55,3.2,3.9,4.5,4.5,3.5,3,4,29,4160,46,0.4,July,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
The Hunting Ground,2015,2,Documentary,PG-13,0,1,92,72,77,7.8,7.5,4.5,4.1,4.6,3.6,3.85,3.9,3.75,4.5,3.5,4,4,4,6,1196,42,0.4,January,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
The Boy Next Door,2015,1,Thriller,R,0,1,10,35,30,5.5,4.6,4,3.6,0.5,1.75,1.5,2.75,2.3,0.5,2,1.5,3,2.5,75,19658,2800,0.4,January,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Aloha,2015,5,Comedy,PG-13,0,0,19,31,40,4,5.5,3.5,3.1,0.95,1.55,2,2,2.75,1,1.5,2,2,3,67,12255,2284,0.4,May,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
The Loft,2015,1,Thriller,R,0,1,11,40,24,2.4,6.3,4,3.6,0.55,2,1.2,1.2,3.15,0.5,2,1,1,3,80,21319,811,0.4,January,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
5 Flights Up,2015,5,Drama,PG-13,0,0,52,47,55,6.8,6.1,4,3.6,2.6,2.35,2.75,3.4,3.05,2.5,2.5,3,3.5,3,6,2174,79,0.4,May,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Welcome to Me,2015,5,Comedy,R,0,0,71,47,67,6.9,5.9,4,3.6,3.55,2.35,3.35,3.45,2.95,3.5,2.5,3.5,3.5,3,33,8301,56,0.4,May,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Saint Laurent,2015,7,Foreign,R,0,1,51,45,52,6.8,6.3,3.5,3.1,2.55,2.25,2.6,3.4,3.15,2.5,2.5,2.5,3.5,3,8,2196,43,0.4,September,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Maps to the Stars,2015,5,Drama,R,0,1,60,46,67,5.8,6.3,3.5,3.1,3,2.3,3.35,2.9,3.15,3,2.5,3.5,3,3,46,22440,35,0.4,February,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
I'll See You In My Dreams,2015,5,Comedy,PG-13,0,0,94,70,75,6.9,6.9,4,3.6,4.7,3.5,3.75,3.45,3.45,4.5,3.5,4,3.5,3.5,14,1151,281,0.4,May,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Timbuktu,2015,1,Foreign,PG-13,0,0,99,78,91,6.9,7.2,4,3.6,4.95,3.9,4.55,3.45,3.6,5,4,4.5,3.5,3.5,37,6246,74,0.4,December,7,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
About Elly,2015,4,Drama,,0,0,97,86,87,9.6,8.2,4,3.6,4.85,4.3,4.35,4.8,4.1,5,4.5,4.5,5,4,23,20659,43,0.4,July,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
The Diary of a Teenage Girl,2015,1,Drama,R,0,1,95,81,87,6.3,7,4,3.6,4.75,4.05,4.35,3.15,3.5,5,4,4.5,3,3.5,18,1107,38,0.4,August,7,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Kingsman: The Secret Service,2015,2,Action/Adventure,R,0,1,75,84,58,7.9,7.8,4.5,4.2,3.75,4.2,2.9,3.95,3.9,4,4,3,4,4,1054,272204,15205,0.3,February,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tomorrowland,2015,5,Sci-Fi,PG,0,0,50,53,60,6.4,6.6,4,3.7,2.5,2.65,3,3.2,3.3,2.5,2.5,3,3,3.5,262,42937,8077,0.3,May,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
